,comunidad_autónoma,categoria,generacion (MW),porcentaje (%),mes,año
221,Cantabria,Residuos renovables,3380.5175,12.545745297007432,6,2019
222,Cantabria,Residuos renovables,3433.519,15.474527698259779,7,2019
223,Cantabria,Residuos renovables,3428.761,19.14567698561601,8,2019
224,Cantabria,Residuos renovables,3365.859,15.275290787279532,9,2019
225,Cantabria,Residuos renovables,3476.0315,10.792480534629057,10,2019
226,Cantabria,Residuos renovables,1043.4315,2.0298406554129205,11,2019
227,Cantabria,Residuos renovables,3469.3295,6.302752207159437,12,2019
228,Castilla - La Mancha,Hidráulica,56524.881,4.62828508598605,1,2019
229,Castilla - La Mancha,Hidráulica,65394.535,7.446139242092798,2,2019
230,Castilla - La Mancha,Hidráulica,68060.45,6.826069041446738,3,2019
231,Castilla - La Mancha,Hidráulica,66665.149,5.9677015964160045,4,2019
232,Castilla - La Mancha,Hidráulica,64692.345,6.7803185883162715,5,2019
233,Castilla - La Mancha,Hidráulica,48251.199,4.897773705340383,6,2019
234,Castilla - La Mancha,Hidráulica,59170.406,6.152312562833324,7,2019
235,Castilla - La Mancha,Hidráulica,51212.644,6.455499567909119,8,2019
236,Castilla - La Mancha,Hidráulica,47172.254,5.825554094590451,9,2019
237,Castilla - La Mancha,Hidráulica,24349.004,3.1064019855943705,10,2019
238,Castilla - La Mancha,Hidráulica,24587.189,1.52324798366717,11,2019
239,Castilla - La Mancha,Hidráulica,46057.884,4.609577717191151,12,2019
240,Castilla - La Mancha,Eólica,1003724.223,82.18543355719468,1,2019
241,Castilla - La Mancha,Eólica,611174.978,69.59135021712444,2,2019
242,Castilla - La Mancha,Eólica,654481.477,65.64070246890866,3,2019
243,Castilla - La Mancha,Eólica,830498.321,74.34418478615432,4,2019
244,Castilla - La Mancha,Eólica,557814.719,58.463818370969825,5,2019
245,Castilla - La Mancha,Eólica,593152.913,60.20842591989168,6,2019
246,Castilla - La Mancha,Eólica,567609.852,59.01790201080526,7,2019
247,Castilla - La Mancha,Eólica,395720.567,49.88170400421528,8,2019
248,Castilla - La Mancha,Eólica,504160.387,62.261464267070146,9,2019
249,Castilla - La Mancha,Eólica,530463.773,67.67561078609546,10,2019
250,Castilla - La Mancha,Eólica,1450603.674,89.8691233682992,11,2019
251,Castilla - La Mancha,Eólica,824847.26,82.55258860311898,12,2019
252,Castilla - La Mancha,Solar fotovoltaica,115653.651,9.469777885302149,1,2019
253,Castilla - La Mancha,Solar fotovoltaica,136833.657,15.580544506154311,2,2019
254,Castilla - La Mancha,Solar fotovoltaica,179329.581,17.985718593981016,3,2019
255,Castilla - La Mancha,Solar fotovoltaica,148760.584,13.316684773637528,4,2019
256,Castilla - La Mancha,Solar fotovoltaica,208269.494,21.82844850573007,5,2019
257,Castilla - La Mancha,Solar fotovoltaica,210878.814,21.405410261878995,6,2019
258,Castilla - La Mancha,Solar fotovoltaica,205256.022,21.34173631912874,7,2019
259,Castilla - La Mancha,Solar fotovoltaica,216217.09,27.254779719429585,8,2019
260,Castilla - La Mancha,Solar fotovoltaica,178864.707,22.088959883951514,9,2019
261,Castilla - La Mancha,Solar fotovoltaica,166911.609,21.294281836593857,10,2019
262,Castilla - La Mancha,Solar fotovoltaica,106311.443,6.586303590479467,11,2019
263,Castilla - La Mancha,Solar fotovoltaica,96228.184,9.630735374907148,12,2019
264,Castilla - La Mancha,Solar térmica,23995.448,1.964759096263357,1,2019
265,Castilla - La Mancha,Solar térmica,41713.263,4.749674640855502,2,2019
266,Castilla - La Mancha,Solar térmica,71915.614,7.212719667913356,3,2019
267,Castilla - La Mancha,Solar térmica,50141.503,4.488545094226037,4,2019
268,Castilla - La Mancha,Solar térmica,99932.783,10.473821997905258,5,2019
269,Castilla - La Mancha,Solar térmica,111991.519,11.367782114167317,6,2019
270,Castilla - La Mancha,Solar térmica,105120.221,10.929998625767674,7,2019
271,Castilla - La Mancha,Solar térmica,107288.293,13.523994760028538,8,2019
272,Castilla - La Mancha,Solar térmica,58392.406,7.211190711096571,9,2019
273,Castilla - La Mancha,Solar térmica,39471.469,5.03569877749113,10,2019
274,Castilla - La Mancha,Solar térmica,9268.323,0.5741996094684129,11,2019
275,Castilla - La Mancha,Solar térmica,4738.04,0.47419381244610276,12,2019
276,Castilla - La Mancha,Otras renovables,21393.916,1.7517443752537636,1,2019
277,Castilla - La Mancha,Otras renovables,23117.681,2.6322913937729364,2,2019
278,Castilla - La Mancha,Otras renovables,23279.412,2.3347902277502377,3,2019
279,Castilla - La Mancha,Otras renovables,21033.68,1.8828837495661097,4,2019
280,Castilla - La Mancha,Otras renovables,23410.206,2.4535925370785847,5,2019
281,Castilla - La Mancha,Otras renovables,20891.508,2.120607998721612,6,2019
282,Castilla - La Mancha,Otras renovables,24602.275,2.5580504814650116,7,2019
