,comunidad_autonoma,provincias,ramas de actividad,magnitud,periodo,total
74,Comunidad Valenciana,Alicante/Alacant,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",Empleo total (miles de personas),2019,91.3
75,Comunidad Valenciana,Alicante/Alacant,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",Empleo asalariado (miles de personas),2021,70.4
76,Comunidad Valenciana,Alicante/Alacant,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",Empleo asalariado (miles de personas),2020,69.0
77,Comunidad Valenciana,Alicante/Alacant,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",Empleo asalariado (miles de personas),2019,70.1
78,Comunidad Valenciana,Alicante/Alacant,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",Empleo total (miles de personas),2021,206.6
79,Comunidad Valenciana,Alicante/Alacant,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",Empleo total (miles de personas),2020,192.0
80,Comunidad Valenciana,Alicante/Alacant,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",Empleo total (miles de personas),2019,194.2
81,Comunidad Valenciana,Alicante/Alacant,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",Empleo asalariado (miles de personas),2021,184.3
82,Comunidad Valenciana,Alicante/Alacant,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",Empleo asalariado (miles de personas),2020,171.7
83,Comunidad Valenciana,Alicante/Alacant,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",Empleo asalariado (miles de personas),2019,175.9
84,Andalucía,Almería,"A. Agricultura, ganadería, silvicultura y pesca",Empleo total (miles de personas),2021,68.8
85,Andalucía,Almería,"A. Agricultura, ganadería, silvicultura y pesca",Empleo total (miles de personas),2020,63.9
86,Andalucía,Almería,"A. Agricultura, ganadería, silvicultura y pesca",Empleo total (miles de personas),2019,62.6
87,Andalucía,Almería,"A. Agricultura, ganadería, silvicultura y pesca",Empleo asalariado (miles de personas),2021,49.9
88,Andalucía,Almería,"A. Agricultura, ganadería, silvicultura y pesca",Empleo asalariado (miles de personas),2020,45.5
89,Andalucía,Almería,"A. Agricultura, ganadería, silvicultura y pesca",Empleo asalariado (miles de personas),2019,44.5
90,Andalucía,Almería,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",Empleo total (miles de personas),2021,16.3
91,Andalucía,Almería,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",Empleo total (miles de personas),2020,15.7
